VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,M,M1,M2,min,min1,min2,VarName17,VarName18,VarName19,VarName20,VarName21,VarName22,VarName23,VarName24,VarName25,VarName26,VarName27,VarName28,VarName29,VarName30,VarName31,VarName32,VarName33,VarName34,VarName35,VarName36,VarName37,VarName38,VarName39,G,VarName41,VarName42,VarName43,G1,G2
2697433262193,27358837659,先生,26,3,1,大众用户,19.19,22.66,19.1,1.98,0.21,1.38,108,102,105,20.32,1.19,105,0.19,2.66,0,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,0,NaN,1,0,0,1,1
2697454632101,27413935045,女士,55,3,1,大众用户,100,100,100,753.21,644.55,404.74,848,1025,945,100,600.83,939.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,99,99,1.8,3.15,1.98,1,NaN,1,0,0,0,0
2697603907890,27971555623,女士,31,0,1,农村用户,0,0,17.1,158.87,51.05,946.87,27,28,50,5.7,385.6,35,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,52.49,16.74,5.21,1,NaN,0,0,0,0,0
2697478386368,30958281689,先生,58,3,1,农村用户,21,21,21,0,0,0,325,302,183,21,0,270,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,0,0,0,0,0
2697453415385,25853434819,女士,25,3,1,农村用户,20.8,25.67,22.2,0,0.12,760.15,601,610,421,22.89,253.42,544,0,6.27,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2697437687386,27448441494,女士,38,3,1,集团用户,80,79.4,79.3,3281.06,4099.93,4792.37,1142,1016,863,79.57,4057.79,1007,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,68,68,48.56,93.75,NaN,1,NaN,1,0,0,1,1
2697436995024,30937552979,先生,33,3,1,大众用户,19,19.2,19.1,1127.36,55.76,432.63,81,54,141,19.1,538.58,92,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2689435447359,26131556676,女士,56,3,3,大众用户,14.1,17.5,15.4,3.47,0,0,163,166,161,15.67,1.16,163.33,5.1,8.2,6.4,0,0,0,0,0,NaN,NaN,0,0,0,1,15,10,0,0,0,0,NaN,1,0,0,0,0
2697540545134,30611194243,女士,20,3,1,大众用户,92.35,38.1,38,650.89,390.29,345.17,60,88,131,56.15,462.12,93,0,0,0,54.25,0,0,0,1,NaN,NaN,0,0,1,0,38,38,0,0,0,0,NaN,1,0,0,0,0
2697420685439,27358303999,先生,52,4,1,集团用户,108.32,157.71,103.6,4880.69,6369.7,5791.54,743,662,284,123.21,5680.64,563,5.32,7.41,0,0,46.5,0,0,0,NaN,NaN,0,0,0,1,98,98,0,NaN,44.19,1,NaN,1,0,0,1,1
2697491758789,28105741334,先生,44,3,1,大众用户,145.95,209.84,88.33,155.77,1283.89,5.35,1015,867,476,148.04,481.67,786,76.95,48.83,8.93,0,81.91,0,1,0,100,1,1,0,0,0,58,58,30.31,0,0,0,NaN,1,0,0,0,0
2697548667060,31110492092,先生,22,3,1,校园用户,19.08,59.83,26.75,2367.31,15451.04,5528.11,26,69,12,35.22,7782.15,35.67,0.38,3.23,0.95,0,0,0,0,1,NaN,NaN,0,0,0,1,18,18,3.06,22.89,9.52,0,NaN,1,0,0,0,0
2697605576453,27359172517,先生,17,1,1,大众用户,13.1,12.1,13,8901.29,3917.46,6518.9,37,58,79,12.73,6445.88,58,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,NaN,31.11,56.37,1,NaN,1,0,0,0,0
2697609898721,30078922881,女士,58,1,1,大众用户,8,8,8,0.05,0.05,0.02,358,392,384,8,0.04,378,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,0,0,0,0,0
2697433054656,27358695432,女士,54,3,1,农村用户,36.2,25.18,25.18,0.06,11.64,0,106,74,61,28.85,3.9,80.33,15.2,4.18,4.18,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,0,NaN,1,0,0,0,0
2697502293904,27971899978,先生,52,4,1,大众用户,123,123,122.7,0,0,0,347,277,381,122.9,0,335,0,0,0,0,0,0,1,0,100,1,1,0,0,0,98,68,0,0,0,1,NaN,0,0,0,0,1
2697517112273,25844652370,先生,33,3,1,农村用户,99,99,99,426.27,5640.07,2075.97,294,589,343,99,2714.1,408.67,0,0,0,0,0,0,1,0,100,1,1,0,0,1,98,98,0,0,0,1,NaN,1,0,0,0,0
2697501344324,25864933440,女士,29,3,1,集团用户,59.99,60.74,50.39,7999.16,4942.98,3198.24,288,280,330,57.04,5380.13,299.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2697482591200,27459045266,先生,47,3,1,大众用户,102,99,99.1,1201.85,2004.25,3379.61,163,168,208,100.03,2195.24,179.67,0,0,0,0,0,0,0,0,NaN,NaN,0,1,0,0,98,68,0,0,0,1,NaN,1,0,0,0,0
2697483635433,27358268004,先生,28,4,1,大众用户,118.06,94.69,81.59,2303.71,1924.37,1046.4,1360,1173,893,98.11,1758.16,1142,52.06,28.69,15.39,0,0,0,0,0,NaN,NaN,0,0,0,1,58,58,0,0,0,1,NaN,1,0,0,0,0
2697585600724,30065865761,先生,47,2,1,集团用户,48,48,48,3033.45,3274.69,2641.34,90,118,126,48,2983.16,111.33,0,0,0,0,0,0,1,0,100,1,1,0,0,1,158,158,9.81,10.99,7.52,0,NaN,1,0,0,0,0
2697603458456,27448445920,先生,14,0,1,校园用户,0,0.2,5,3.13,38.01,407.37,1,10,87,1.73,149.5,32.67,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,1.01,12.61,7.51,0,NaN,1,0,0,0,0
2697629084338,27458648540,女士,45,2,1,大众用户,78.5,78.1,78,1089.5,51.65,48.26,189,226,123,78.2,396.47,179.33,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,NaN,NaN,NaN,1,NaN,1,0,0,0,1
2697517954941,30558440000,女士,32,3,1,大众用户,119,119,119,2828.38,2643.99,5695.64,269,338,265,119,3722.67,290.67,0,0,0,0,0,0,1,0,100,1,1,0,0,0,99,99,13.8,12.91,0,1,NaN,1,0,0,0,0
2697455117583,25875779789,女士,29,4,1,大众用户,133,130,130,3216.01,3008.12,4015.5,199,333,420,131,3413.21,317.33,0,0,0,0,0,0,1,0,60,1,1,0,0,0,99,99,15.79,14.69,19.61,1,NaN,1,0,0,0,0
2697419975885,26131588132,先生,59,3,1,农村用户,54.1,21.1,21,314.12,0,0.02,643,413,358,32.07,104.71,471.33,0,0,0,33.1,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2689424445570,25870590117,先生,40,4,13,集团用户,88,85,85.1,3368.98,4956.22,5656.5,677,224,474,86.03,4660.57,458.33,0,0,0,0,0,0,1,0,100,1,1,1,0,0,99,99,53.28,74.89,62.62,1,NaN,1,0,0,0,0
2694512904210,25687616477,先生,50,3,1,大众用户,58,58.1,58.1,6814.27,7038.31,9005.23,145,146,246,58.07,7619.27,179,0,0,0,0,0,0,1,0,100,1,1,0,1,1,68,68,66.45,68.74,87.94,0,NaN,1,0,0,0,0
2697555492281,25862931646,女士,46,2,1,大众用户,21.3,21,21,2.43,13.07,28.82,397,470,340,21.1,14.77,402.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2697648215711,26232166725,先生,55,NaN,1,大众用户,20.7,20.3,20.1,2527.87,3346.24,1119.08,1,11,34,20.37,2331.06,15.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2697573946972,27260882676,先生,49,2,1,农村用户,36.76,28.35,32.2,2064,0,0,291,258,253,32.44,688,267.33,22.76,19.35,23.1,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,1,NaN,1,0,1,0,0
2697487028528,27260886445,女士,37,2,1,大众用户,10,10,10,3603.37,4265.53,6393.44,372,354,661,10,4754.11,462.33,0,0,0,0,8.98,0,0,0,NaN,NaN,0,0,0,0,10,10,0,0,0,0,NaN,1,0,0,0,0
2689422283208,25988041917,女士,54,3,14,大众用户,9.6,10.5,26.82,3399,0.02,2309.38,58,100,107,15.64,1902.8,88.33,0.6,1.5,0,0,0,17.82,0,0,NaN,NaN,0,0,0,0,9,9,0,0,0,0,NaN,1,0,0,1,1
2697496086542,31118994502,先生,21,3,1,校园用户,32.15,42.8,8.2,1785.54,789.41,184.75,176,251,130,27.72,919.9,185.67,8.55,11.97,0,0,7.13,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,1,NaN,1,0,0,0,0
2689424905087,26218668321,先生,54,3,13,大众用户,69.1,69,69,0.1,0,65.09,164,206,214,69.03,21.73,194.67,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2694528646827,27237610406,女士,46,4,1,集团用户,107.3,107.4,107.3,7815.44,5168.18,7144.73,683,603,594,107.33,6709.45,626.67,0,0,0,0,0,0,1,0,100,1,1,0,0,1,98,98,11.88,25.24,0,1,NaN,1,0,0,0,0
2694524155261,26118698803,女士,49,3,1,大众用户,24.1,0,0.3,1287.95,0,0,247,81,201,8.13,429.32,176.33,0,0,0.3,0,0,0,0,0,NaN,NaN,0,1,0,1,18,18,0,0,0,1,NaN,1,0,0,0,0
2694514287292,28158950905,先生,59,3,1,农村用户,14.2,11,21.8,0,0,0,277,178,445,15.67,0,300,5.2,2,12.8,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,1,NaN,0,0,0,0,0
2697499866770,26132086726,女士,37,3,1,农村用户,98.4,98,98.1,0.05,521.04,3116.93,306,212,302,98.17,1212.67,273.33,0,0,0,0,0,0,1,0,100,1,1,0,1,1,98,98,0,0,0,1,NaN,1,0,0,0,0
2697492365264,30459005051,先生,30,3,1,大众用户,105,105.4,106.15,9815.74,4485.19,4899,998,1010,1314,105.52,6399.98,1107.33,0,0,0.95,0,0,0,1,0,100,1,1,0,0,1,98,98,47.93,21.9,23.92,1,NaN,1,0,0,1,1
2697434956272,25873125297,女士,57,3,1,农村用户,18,18.1,18,0,0,0,125,199,112,18.03,0,145.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2697433046203,28058563420,先生,48,4,1,农村用户,109,100,100,2992.35,1179.15,983.93,614,654,516,103,1718.48,594.67,0,0,0,0,0,0,1,0,100,1,1,1,0,1,98,98,31.17,5.76,4.81,1,NaN,1,0,0,0,0
2689425969108,25744642348,先生,45,3,13,集团用户,23.1,57.09,57.25,40.21,317.55,0.05,528,728,1208,45.81,119.27,821.33,0,0,33.25,0,34.09,0,0,0,NaN,NaN,0,0,0,0,18,18,40.31,0,0,1,NaN,1,0,0,0,0
2689432396636,25687262985,先生,51,3,7,大众用户,93,93,93,0,14.23,102.05,13,33,68,93,38.76,38,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,13.73,NaN,15.12,1,NaN,1,0,0,0,0
2697451679407,28059201248,女士,39,3,1,大众用户,18,18.2,18,0,4715.71,4770.54,114,225,161,18.07,3162.08,166.67,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,NaN,0,1,NaN,1,0,0,0,0
2694522854720,28059122564,先生,45,4,1,集团用户,93.2,108.26,104.44,1168.73,740.25,762.91,850,1251,1119,101.97,890.63,1073.33,0,12.16,8.74,0,0,0,0,0,NaN,NaN,0,1,0,0,99,99,5.7,3.57,3.68,1,NaN,1,0,0,1,0
2697535099305,27965425700,先生,29,2,1,农村用户,25.75,27.76,33.55,19.05,15.3,1.95,138,148,258,29.02,12.1,181.33,6.65,8.36,14.25,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,0,NaN,1,0,0,0,0
2697507100155,26132165382,先生,48,2,1,大众用户,16.63,14.55,14.1,262.88,474.6,1610,91,148,111,15.09,782.49,116.67,5.85,5.55,5.1,1.68,0,0,0,0,NaN,NaN,0,0,1,0,9,9,0,0,0,0,NaN,1,0,0,0,0
2697490174625,25687903891,女士,44,2,1,农村用户,20.3,18,19.29,0,0,331.02,95,24,21,19.2,110.34,46.67,0,0,0.29,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,0,NaN,0,0,0,0,0
2697651327066,30961172105,女士,20,NaN,1,大众用户,39,0.2,0,84.13,8155.92,0,0,0,0,19.6,4120.03,0,0,0,0,0,0,0,0,0,NaN,NaN,0,1,0,0,59,59,0.27,18.02,0,0,NaN,1,0,0,1,1
2697477600378,31118420829,女士,27,3,1,集团用户,18.1,19.3,20.09,17.03,0.01,0.01,92,122,200,19.16,5.68,138,0,1.3,2.09,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2697500876506,27938310896,女士,43,3,1,大众用户,69.3,82.79,75.9,6681.15,4830.84,5423.19,939,1468,1408,76,5645.06,1271.67,0,9.69,5.7,0,0,0,1,0,100,1,1,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2697439057718,28158053691,先生,50,3,1,大众用户,17.96,13,15.02,0.04,0,4.02,380,552,355,15.33,1.35,429,4.75,0,0.76,0.01,0,1.16,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,1,NaN,1,0,0,0,1
2697475178615,28158618154,女士,32,3,1,大众用户,8,8.19,9.22,0,1580.96,395.17,0,7,57,8.47,658.71,21.33,0,0.19,1.22,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,1,NaN,0,0,0,0,0
2697535845544,27347216738,女士,26,2,1,大众用户,10.87,10,10,778.94,70.97,855.42,14,8,10,10.29,568.44,10.67,0.57,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,9,9,0.07,0,0,0,NaN,2,0,1,0,0
2697414201710,26232080060,女士,56,3,1,大众用户,68.1,68.1,68.1,4197.19,2925.72,2973.47,99,54,117,68.1,3365.46,90,0,0,0,0,0,0,1,0,100,1,1,1,0,1,68,68,41,28.59,29.05,1,NaN,1,0,0,0,0
2697458864746,30558455011,先生,40,NaN,1,大众用户,12.28,12,12,3229.58,1773.58,2521.48,98,128,120,12.09,2508.21,115.33,0,0,0,0.28,0,0,0,0,NaN,NaN,0,0,0,0,10,10,0,0,0,0,NaN,1,0,0,1,1
2697431894591,25843578922,先生,46,3,1,大众用户,38.48,37.15,36.68,1.28,16.49,4.52,137,116,112,37.44,7.43,121.67,17.48,16.15,15.58,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,1,NaN,1,0,0,0,0
2697440115558,26118906443,先生,32,4,1,大众用户,102.1,102.1,102,9341.94,4618.98,2863.18,177,167,283,102.07,5608.03,209,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,99,99,45.62,22.56,13.98,1,NaN,1,0,0,0,0
2697643494904,28158588735,女士,45,NaN,1,集团用户,24,24,24,0.01,0.07,63.97,825,1195,761,24,21.35,927,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2697450896017,27958516755,女士,31,3,1,大众用户,10.24,10.05,13.72,0,0,0,127,126,255,11.34,0,169.33,1.14,0.95,4.72,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,1,NaN,1,0,0,0,0
2697478812510,30958919862,先生,32,3,1,校园用户,10,10,10,1016.31,3568.33,2346.18,889,366,273,10,2310.27,509.33,5.8,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,10,10,0,0,0,0,NaN,1,0,1,0,0
2697592250282,30960845847,先生,26,1,1,大众用户,8.76,8.57,8,0.17,0.14,450.9,10,11,4,8.44,150.4,8.33,0.76,0.57,0,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,0,NaN,2,0,0,0,0
2697490037355,30458938645,女士,57,3,1,集团用户,20.33,21.85,31.73,157.82,63.97,193.83,11,19,147,24.64,138.54,59,1.33,2.85,12.73,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2694517535932,25903238390,女士,56,4,1,集团用户,123.4,113,123.1,6268.76,4046.66,3146.58,498,601,569,119.83,4487.33,556,0,0,0,0,0,0,1,0,200,1,1,0,0,0,99,99,7.49,9.76,15.34,1,7299933817,2,0,0,0,0
2697424537884,27321916859,女士,39,3,1,校园用户,45,45,45,12.76,33.74,10.18,22,72,65,45,18.89,53,0,0,0,0,0,0,1,0,100,1,1,0,0,1,18,18,0,0,0,1,NaN,1,0,0,0,0
2689428138660,26231391332,女士,42,4,12,大众用户,118.2,115.3,115.3,487.22,96.03,680.24,1040,834,928,116.27,421.16,934,0,0,0,0,0,0,1,0,100,1,1,0,0,1,99,99,2.38,0.47,3.32,1,NaN,1,0,0,0,0
2697636146713,27965264052,女士,39,1,1,大众用户,58,58,249,4055.66,1629.07,5945.15,46,22,95,121.67,3876.63,54.33,0,0,0,0,0,0,1,0,100,1,1,0,0,0,68,68,0,0,0,1,NaN,1,0,0,0,0
2697537052847,30458821879,女士,35,3,1,农村用户,109.1,108.1,108,3499.17,1956.61,1185.05,388,270,357,108.4,2213.61,338.33,0,0,0,0,0,0,1,0,100,1,1,0,0,1,98,98,17.08,9.55,5.79,1,NaN,1,0,0,0,0
2697477834451,26218294126,先生,52,4,1,大众用户,78,78,78,0.11,0.08,0.05,140,156,169,78,0.08,155,0,0,0,0,0,0,1,0,100,1,1,0,0,0,68,68,0,0,0,0,NaN,1,0,0,1,1
2697558029324,31118368780,先生,42,3,1,大众用户,98,99,99,0.04,0.03,0.07,409,96,116,98.67,0.05,207,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,68,68,0.1,0.22,0.11,1,NaN,2,0,0,0,0
2697628661619,32058857020,女士,25,0,1,大众用户,0,14.1,23.9,0,61.4,2546.01,0,1,11,19,1303.71,6,0,0.1,0.9,0,4,13,0,0,NaN,NaN,0,0,0,0,19,19,0,NaN,NaN,0,NaN,0,0,0,0,0
2697416665874,25688059531,女士,58,3,1,农村用户,31.1,21,21,175.73,89.55,86.04,282,177,354,24.37,117.11,271,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,84.64,1,NaN,1,0,0,0,0
2694520853281,28158767149,先生,44,3,1,大众用户,100,100,113.79,6799.31,4175.75,3115.91,1573,1800,1502,104.6,4696.99,1625,0.2,1.9,9.69,0,0,0,1,0,100,1,1,0,1,1,98,98,0,0,0,1,NaN,1,0,0,0,0
2697586721939,30558387044,先生,40,1,1,农村用户,59.74,58.58,58,5592.28,4626.04,3670.4,10,7,7,58.77,4629.57,8,1.74,0.58,0,0,0,0,0,0,NaN,NaN,0,0,0,0,58,58,0,0,0,0,NaN,1,0,0,0,0
2697640379513,30550315545,女士,34,1,1,农村用户,22.76,31.02,69.21,375.43,1741.89,3946.37,291,469,610,41,2021.23,456.67,2.66,11.02,49.21,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2694523158646,28061204044,先生,35,3,1,农村用户,69,69,69,7515.8,10509.65,3595.85,303,265,225,69,7207.1,264.33,0,0,0,0,0,0,1,0,100,1,1,1,0,1,68,68,73.4,NaN,35.12,1,NaN,1,0,0,0,0
2697491410646,25830114275,先生,53,2,1,大众用户,24.7,19,25.48,0,0,0,104,37,126,23.06,0,89,5.7,0,2.28,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,0,0,1,0,0
2697448921693,28061277295,女士,36,3,1,大众用户,68.1,68.1,69.61,9213.4,3273.76,7502.46,372,363,543,68.6,6663.21,426,0,0,0,0,0,1.41,0,0,NaN,NaN,0,0,0,1,38,38,0,0,NaN,1,NaN,1,0,0,0,0
2697496721845,26131736868,先生,49,3,1,大众用户,99,99,99,7195.8,6306.98,7197.92,461,798,540,99,6900.23,599.67,0,0,0,0,0,0,1,0,100,1,1,0,0,0,99,99,45.46,40.7,40.53,1,NaN,1,0,0,1,1
2697523480028,25671466077,先生,50,3,1,大众用户,78.3,78,78,3578.53,1454.56,2500.72,243,155,152,78.1,2511.27,183.33,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2697530060309,25873597090,女士,50,2,1,大众用户,33.45,41.5,40,3645.95,3489.22,13107.25,7,30,36,38.32,6747.47,24.33,0.45,2.4,2.85,0,0,0,0,0,NaN,NaN,0,0,0,1,9,9,0,0,0,0,NaN,1,0,0,0,0
2697507180816,26218797331,先生,33,3,1,农村用户,74,74.2,112.89,5123.3,1871.92,3025.81,324,543,1136,87.03,3340.34,667.67,0,0,38.89,0,0,0,1,0,100,1,1,1,0,1,98,98,25.54,9.14,14.78,1,NaN,1,0,0,0,0
2689415870909,26231254409,先生,48,4,7,集团用户,117.02,116.68,119.48,6313.84,9188.5,5285.21,573,1071,776,117.73,6929.18,806.67,3.92,3.68,6.48,0,0,0,1,0,100,1,1,0,0,1,99,99,16.5,7.39,6.79,1,NaN,1,0,0,0,0
2694524291217,28038267108,女士,56,3,1,集团用户,58.02,57.82,57.96,6530.11,2641.16,3679.56,465,265,286,57.93,4283.61,338.67,0,0,0,0,0,0,1,0,200,1,1,0,0,1,168,168,0,0,0,1,NaN,1,0,0,0,0
2689437135118,26131392459,女士,56,3,1,农村用户,68,98,114.14,1035.21,714.27,1596.13,292,536,463,93.38,1115.2,430.33,0,0,25.84,0,0,0,1,0,100,1,1,0,0,1,68,68,0.92,0,0,1,NaN,1,0,0,0,0
2697434575564,30961089345,先生,50,3,1,大众用户,42.73,48.34,46.03,110.01,31.35,49.36,100,148,198,45.7,63.57,148.67,3.23,8.74,5.13,0,0,0,1,0,100,1,1,0,0,1,18,18,0,0,0,1,NaN,1,0,0,0,0
2697512819039,28158080106,女士,29,3,1,大众用户,40,40.2,40.1,918.47,833.26,602.84,14,31,13,40.1,784.86,19.33,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,38,38,0,0,0,0,NaN,1,0,0,1,1
2689427712290,25843618656,先生,58,3,12,集团用户,83.1,84.16,82.74,3413.06,818.18,2637.26,182,293,219,83.33,2289.5,231.33,4.8,6.16,4.64,0,0,0,0,0,NaN,NaN,0,0,0,0,69,69,33.33,7.99,0,0,NaN,1,0,0,0,0
2697509993820,27958664967,女士,54,3,1,大众用户,68,69.1,68.7,5041.61,3757.42,6634.71,733,650,642,68.6,5144.58,675,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2697561446888,30537553815,女士,24,3,1,大众用户,88,88,88,7300.98,6379.41,4131.49,196,283,313,88,5937.29,264,0,0,0,0,0,0,1,0,100,1,1,0,0,0,98,98,35.65,31.15,20.17,1,NaN,1,0,0,0,0
2697539920788,27258612665,女士,55,2,1,大众用户,9.45,10.35,9.9,0,0,0,129,210,355,9.9,0,231.33,0.45,1.35,0.9,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,1,0,0,1,1
2697429108724,25829531866,女士,42,3,1,大众用户,8.4,6.6,6.96,0.01,0.02,0.01,199,221,213,7.32,0.01,211,2.4,0.6,0.96,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,1,NaN,0,0,0,1,1
